url,success,doi_found,abstract_found,doi,abstract,extraction_method,error,source,category,domain
http://scienceroll.com/2007/09/04/7-tips-how-to-track-the-information-you-need/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/04/7-tips-how-to-track-the-information-you-need/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D21030>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://www.livescience.com/php/multimedia/imagegallery/igviewer.php?gid=46,True,False,True,,"Daily discoveries, groundbreaking research and fascinating science breakthroughs that impact you and the wider world, reported by our expert journalists.",GenericHandler,,main_url,scientific,livescience.com
http://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php,main_url,scientific,scienceblogs.com
http://scienceroll.com/2007/09/05/wikiprofessional-alpha-testing-a-wiki-of-web-30/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/05/wikiprofessional-alpha-testing-a-wiki-of-web-30/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D21390>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://www.broad.harvard.edu/cgi-bin/news/display_news.cgi?id=3741,False,False,False,,,,404 Client Error: Not Found for url: https://www.broadinstitute.org/news/newsroom?id=3741,main_url,scientific,broad.harvard.edu
http://scienceblogs.com/digitalbio/2007/09/genetic_variation_i_what_is_a.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/genetic_variation_i_what_is_a.php,main_url,scientific,scienceblogs.com
http://scienceroll.com/2007/09/05/kidney-stones-and-photography/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/05/kidney-stones-and-photography/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6FCF2B0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://notexactlyrocketscience.wordpress.com/2007/09/05/moray-eels-attack-alien-style-with-second-pair-of-jaws/,True,False,True,,"In the Alien movies, the eponymous monster killed shipmates and marines with a fearsome set of double jaws. That may have been science fiction but science fact isn't too far off. In our planet’s tropical oceans, moray eels use a ballistic set of second jaws to catch their prey. These 'pharyngeal jaws' are housed in…",GenericHandler,,main_url,scientific,notexactlyrocketscience.wordpress.com
http://scienceblogs.com/zooillogix/2007/09/video_game_violence_leads_to_m.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/zooillogix/2007/09/video_game_violence_leads_to_m.php,main_url,scientific,scienceblogs.com
http://www.sciencedaily.com/releases/2007/09/070904142918.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070904142918.htm,main_url,scientific,sciencedaily.com
http://scienceblogs.com/neurotopia/2007/09/breaking_christian_university.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/neurotopia/2007/09/breaking_christian_university.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/neurophilosophy/2007/09/science_manga_instructions_for.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/neurophilosophy/2007/09/science_manga_instructions_for.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/pharyngula/2007/09/battling_giants.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/pharyngula/2007/09/battling_giants.php,main_url,scientific,scienceblogs.com
http://www.livescience.com/environment/070906_gw_atlas.html,True,False,True,,Change to land and sea from global warming mean maps need to be redrawn.,GenericHandler,,main_url,scientific,livescience.com
http://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php?utm_source=sbhomepage&amp;utm_medium=link&amp;utm_content=sublink,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php?utm_source=sbhomepage&amp;utm_medium=link&amp;utm_content=sublink,main_url,scientific,scienceblogs.com
http://www.scientificblogging.com/hank/the_least_known_war_in_science_does_hiv_cause_aids#comment-1600,True,False,True,,"There's a war happening in science but you may not know about it, and it's stranger than most because it is pitting some people with HIV and their loved ones against the scientists and medical community trying to cure it. In other words, it's a war that makes even less sense than most wars.",GenericHandler,,main_url,scientific,scientificblogging.com
http://www.scientificblogging.com/hank/the_least_known_war_in_science_does_hiv_cause_aids#comment-1600,True,False,True,,"There's a war happening in science but you may not know about it, and it's stranger than most because it is pitting some people with HIV and their loved ones against the scientists and medical community trying to cure it. In other words, it's a war that makes even less sense than most wars.",GenericHandler,,main_url,scientific,scientificblogging.com
http://scienceblogs.com/aetiology/2007/09/ah_e_coliis_there_any_limit_to.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/aetiology/2007/09/ah_e_coliis_there_any_limit_to.php,main_url,scientific,scienceblogs.com
http://science-student.com/math-resources/calculus-cheat-sheet-with-formulas-identities-and-theorems,False,False,False,,,,404 Client Error: Not Found for url: https://www.science-student.com/math-resources/calculus-cheat-sheet-with-formulas-identities-and-theorems,main_url,scientific,science-student.com
http://stardustathome.ssl.berkeley.edu/index.php,True,False,False,,,GenericHandler,,main_url,scientific,stardustathome.ssl.berkeley.edu
http://www.spectrum.ieee.org/sep07/5498,False,False,False,,,,"HTTPSConnectionPool(host='www.spectrum.ieee.org', port=443): Max retries exceeded with url: /sep07/5498 (Caused by SSLError(CertificateError(""hostname 'www.spectrum.ieee.org' doesn't match 'n.sni-347-default.ssl.fastly.net'"")))",main_url,scientific,spectrum.ieee.org
